param med -1sig +1sig bestfit modemean modesigma modemax
h2den1 3.13541414679 2.5001716663 5.04455644053 2.50041457978 3.54373457652 1.17528341827 2.50041457978
tkin1 1.97293928727 1.15633380808 3.01342865271 3.24495793145 2.04933487933 0.778576589394 3.24495793145
cdmol1 18.1110448299 17.7156628051 18.6814999776 17.5610520053 18.2173969117 0.538421758509 17.5610520053
ff1 -0.469477792785 -0.790439425487 -0.179224240979 -0.0884165330086 -0.484736671042 0.272888189112 -0.0884165330086
lum1 3.07918124605 3.07918124605 3.07918124605 3.07918124605 3.07918124605 2.58095682795e-08 3.07918124605
press1 5.40351770132 5.11173693126 6.17188068643 5.74537251123 5.59306945585 0.673024635382 5.74537251123
bacd1 17.641916899 17.5000090181 17.8534431604 17.4726354723 17.7326602406 0.364411481099 17.4726354723
flux1 2.90812629875 2.62295942091 3.18002453123 2.88793044404 2.90467371782 9.63365086408 2.88793044404
flux2 3.52577590773 3.14823793187 3.83201499779 3.76002017417 3.48950356428 0.364557787434 3.76002017417
flux3 2.47014031511 2.24171755149 2.69008429225 2.47839906468 4.26525369653e+24 2.56815273114e+36 2.47839906468
flux4 1.26926724904 0.892471768044 1.64019904432 1.31670049059 1.26775236897 0.337642992872 1.31670049059
flux5 0.519684124434 0.180908773332 0.836961481644 0.716353594042 1.56859563892e+22 1.02152841139e+34 0.716353594042
mass1 7.660458369 7.51855048802 7.87198463041 7.49117694227 7.75120171059 0.364411481099 7.49117694227
